Admin2,Admin3,Admin4,Partner,prov,municip,brgy,loc_notes,date,Communities Organized (RC 143),Individuals Organized (RC 143),schools organized and trained (RC 143),students/teachers organized and trained,trainings for staff and volunteers in DRR conducted,Sub-Chapter Offices Established,Logistics Hubs Established,Training Centers Established
PH060400000,PH060409000,PH060409001,Finnish Red Cross,Aklan,Libacao,Agmailig,,9/19/14,1,55,,,,,,
PH060400000,PH060409000,PH060409002,Finnish Red Cross,Aklan,Libacao,Alfonso XII,,9/19/14,1,113,,,,,,
PH060400000,PH060409000,PH060409003,Finnish Red Cross,Aklan,Libacao,Batobato,,9/19/14,1,50,,,,,,
PH060400000,PH060409000,PH060409004,Finnish Red Cross,Aklan,Libacao,Bonza,,9/19/14,1,51,,,,,,
PH060400000,PH060409000,PH060409005,Finnish Red Cross,Aklan,Libacao,Calacabian,,9/19/14,1,55,,,,,,
PH060400000,PH060409000,PH060409006,Finnish Red Cross,Aklan,Libacao,Calamcan,,9/19/14,1,59,,,,,,
PH060400000,PH060409000,PH060409007,Finnish Red Cross,Aklan,Libacao,Can-Awan,,9/19/14,1,41,,,,,,
PH060400000,PH060409000,PH060409008,Finnish Red Cross,Aklan,Libacao,Casit-an,,9/19/14,1,39,,,,,,
PH060400000,PH060409000,PH060409010,Finnish Red Cross,Aklan,Libacao,Guadalupe,,9/19/14,1,60,,,,,,
PH060400000,PH060409000,PH060409011,Finnish Red Cross,Aklan,Libacao,Janlud,,9/19/14,1,55,,,,,,
PH060400000,PH060409000,PH060409012,Finnish Red Cross,Aklan,Libacao,Julita,,9/19/14,1,31,,,,,,
PH060400000,PH060409000,PH060409013,Finnish Red Cross,Aklan,Libacao,Luctoga,,9/19/14,1,56,,,,,,
PH060400000,PH060409000,PH060409014,Finnish Red Cross,Aklan,Libacao,Magugba,,9/19/14,1,63,,,,,,
PH060400000,PH060409000,PH060409015,Finnish Red Cross,Aklan,Libacao,Manika,,41922,1,109,,,,,,
PH060400000,PH060409000,PH060409016,Finnish Red Cross,Aklan,Libacao,Ogsip,,9/19/14,1,41,,,,,,
PH060400000,PH060409000,PH060409017,Finnish Red Cross,Aklan,Libacao,Ortega,,9/19/14,1,68,,,,,,
PH060400000,PH060409000,PH060409018,Finnish Red Cross,Aklan,Libacao,Oyang,,41922,1,66,,,,,,
PH060400000,PH060409000,PH060409019,Finnish Red Cross,Aklan,Libacao,Pampango,,9/19/14,1,65,,,,,,
PH060400000,PH060409000,PH060409020,Finnish Red Cross,Aklan,Libacao,Pinonoy,,9/19/14,1,44,,,,,,
PH060400000,PH060409000,PH060409022,Finnish Red Cross,Aklan,Libacao,Rivera,,9/19/14,1,60,,,,,,
PH060400000,PH060409000,PH060409023,Finnish Red Cross,Aklan,Libacao,Rosal,,9/19/14,1,145,,,,,,
PH060400000,PH060409000,PH060409024,Finnish Red Cross,Aklan,Libacao,Sibalew,,9/19/14,1,60,,,,,,
PH061900000,PH061903000,PH061903009,German Red Cross,Capiz,Dumalag,San Martin,,10/10/14,1,53,,,,,,
PH061900000,PH061903000,PH061903010,German Red Cross,Capiz,Dumalag,San Miguel,,41929,1,48,,,,,,
PH061900000,PH061903000,PH061903011,German Red Cross,Capiz,Dumalag,San Rafael,,10/10/14,1,45,,,,,,
PH061900000,PH061903000,PH061903018,German Red Cross,Capiz,Dumalag,Santo Angel,,10/10/14,1,56,,,,,,
PH061900000,PH061904000,PH061904003,German Red Cross,Capiz,Dumarao,Aglanot,,41915,1,47,,,,,,
PH061900000,PH061904000,PH061904006,German Red Cross,Capiz,Dumarao,Agsirab,,41908,1,33,,,,,,
PH061900000,PH061904000,PH061904021,German Red Cross,Capiz,Dumarao,Lawaan,,41929,1,49,,,,,,
PH061900000,PH061904000,PH061904030,German Red Cross,Capiz,Dumarao,Sagrada Familia,,41878,1,50,,,,,,
PH061900000,PH061904000,PH061904036,German Red Cross,Capiz,Dumarao,Tina,,41929,1,52,,,,,,
PH061900000,PH061905000,PH061905005,Hong Kong Red Cross,Capiz,Ivisan,Cabugao,,8/2/14,1,73,,,,,,
PH061900000,PH061905000,PH061905010,Hong Kong Red Cross,Capiz,Ivisan,Matnog,,8/2/14,1,79,,,,,,
PH061900000,PH061905000,PH061905011,Hong Kong Red Cross,Capiz,Ivisan,Mianay,,6/27/14,1,51,,,,,,
PH061900000,PH061905000,PH061905012,Hong Kong Red Cross,Capiz,Ivisan,Ondoy,,6/27/14,1,49,,,,,,
PH061900000,PH061905000,PH061905015,Hong Kong Red Cross,Capiz,Ivisan,Santa Cruz,,6/24/14,1,50,,,,,,
PH061900000,PH061910000,PH061910004,IFRC,Capiz,Panitan,Ambilay,,41929,1,46,,,,,,
PH061900000,PH061910000,PH061910009,IFRC,Capiz,Panitan,Cabangahan,,41929,1,94,,,,,,
PH061900000,PH061910000,PH061910010,IFRC,Capiz,Panitan,Cadio,,41929,1,82,,,,,,
PH061900000,PH061917000,PH061917001,German Red Cross,Capiz,Tapaz,Abangay,,41929,1,43,,,,,,
PH061900000,PH061917000,PH061917003,German Red Cross,Capiz,Tapaz,Agcococ,,9/26/14,1,149,,,,,,
PH061900000,PH061917000,PH061917004,German Red Cross,Capiz,Tapaz,Aglinab,,41929,1,45,,,,,,
PH061900000,PH061917000,PH061917008,German Red Cross,Capiz,Tapaz,Artuz,,41929,1,119,,,,,,
PH061900000,PH061917000,PH061917036,German Red Cross,Capiz,Tapaz,Roxas,,41929,1,65,,,,,,
